age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,school_MS,sex_M,address_U,famsize_LE3,Pstatus_T,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_home,reason_other,reason_reputation,guardian_mother,guardian_other,schoolsup_yes,famsup_yes,paid_yes,activities_yes,nursery_yes,higher_yes,internet_yes,romantic_yes
17,2,1,2,1,3,4,5,1,1,1,3,2,8,8,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0
18,1,2,3,1,0,4,3,3,2,3,3,3,14,12,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,1
18,3,3,1,2,1,4,3,3,1,3,5,8,3,5,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1
16,2,1,1,2,0,5,3,4,1,1,2,8,8,9,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1
20,2,2,1,2,2,5,5,4,4,5,4,11,9,9,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0
18,2,2,2,2,0,3,3,3,5,5,4,0,12,13,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0
15,4,4,1,2,0,4,3,3,1,1,5,2,19,18,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0
16,1,1,2,2,0,3,4,2,1,1,5,18,9,7,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0
18,2,1,2,2,0,5,3,3,1,2,1,0,8,8,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0
15,4,4,2,2,0,4,4,3,1,1,2,2,11,13,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0
15,3,4,1,2,0,5,5,1,1,1,5,0,14,15,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0
17,4,3,2,3,0,4,4,2,1,1,4,6,7,7,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1
17,3,1,1,3,0,3,4,3,2,3,5,1,12,14,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
18,3,2,3,1,0,4,4,1,3,4,5,0,11,12,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
18,2,1,1,2,0,5,2,4,1,2,4,8,15,14,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0
15,2,3,1,2,0,4,4,4,1,1,1,2,11,8,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0
16,2,2,1,2,0,5,4,4,1,1,5,0,8,7,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1
18,1,1,2,2,0,4,4,3,1,1,3,2,11,11,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0
17,0,2,2,3,0,3,3,3,2,3,2,0,16,15,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0
18,2,2,2,4,0,4,4,4,1,1,4,0,10,9,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0
16,4,4,1,1,0,4,4,4,1,2,2,4,14,14,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0
17,3,1,2,1,0,2,4,5,3,4,2,3,14,16,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0
16,4,2,1,2,0,4,2,3,1,1,3,0,14,15,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1
18,4,4,2,2,0,4,3,4,1,1,3,6,5,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0
15,4,3,2,4,0,2,2,2,1,1,3,0,7,9,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0
15,4,2,1,1,0,3,5,2,1,1,3,10,18,19,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
16,2,2,1,4,0,5,2,3,1,3,3,0,11,11,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1
15,3,3,1,2,0,5,3,2,1,1,2,0,8,10,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
16,4,4,1,3,0,4,4,3,1,1,4,0,16,17,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1
15,4,0,2,4,0,3,4,3,1,1,1,8,11,11,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0
19,4,4,2,1,1,4,3,4,1,1,4,38,8,9,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,1,1,1
18,1,1,4,3,0,4,3,2,1,2,4,2,8,8,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0
17,4,3,1,3,0,4,2,2,1,2,3,0,15,15,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,1,0
17,4,4,2,2,0,4,3,3,1,2,5,4,12,13,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0
16,3,3,1,3,0,4,3,3,1,3,4,0,7,7,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1
18,4,2,2,1,1,5,4,3,4,3,3,14,6,5,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0
16,3,3,2,1,2,4,3,2,1,1,5,0,4,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1
15,4,4,1,2,0,3,2,2,1,1,5,4,14,15,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0
16,3,1,1,1,0,5,3,2,2,2,5,2,12,12,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0
16,2,2,1,1,2,1,2,2,1,3,5,14,6,9,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0
15,1,1,1,2,2,3,3,4,2,4,5,2,8,6,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1
15,1,1,1,2,0,4,4,2,1,2,5,0,8,11,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0
17,4,4,2,3,0,4,3,3,1,2,4,4,14,14,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1
16,2,2,2,1,2,2,3,3,2,2,2,8,9,9,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0
16,2,2,3,1,0,4,2,2,1,2,3,2,17,15,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
16,4,2,2,2,0,5,3,3,1,1,1,0,11,10,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1,1,0
16,3,3,1,2,0,2,3,5,1,4,3,12,11,12,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,0
19,3,3,1,2,1,4,4,4,1,1,3,20,15,14,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1
15,4,4,4,4,0,1,3,5,3,5,1,6,10,13,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
17,4,4,1,1,0,5,2,3,1,2,5,4,17,15,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0
15,2,2,1,1,0,4,3,1,1,1,2,8,14,13,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0
15,4,3,1,2,0,4,3,2,1,1,1,0,14,15,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0
15,4,4,1,2,0,5,4,2,3,4,5,0,9,11,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0
18,4,4,1,2,0,5,4,3,3,4,2,4,8,9,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0
18,4,4,3,1,0,4,4,3,2,2,5,7,6,5,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1
17,2,2,1,1,0,3,4,4,1,3,5,12,10,13,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1
17,1,1,1,2,0,4,3,3,1,2,4,2,12,10,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0
16,2,2,1,2,0,5,1,5,1,1,4,0,6,7,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0
16,4,2,1,2,0,4,5,1,1,3,5,2,15,15,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0
15,4,4,2,2,0,4,3,1,1,1,5,0,17,16,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,1,0
15,2,2,1,4,0,4,3,4,1,1,4,6,11,13,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0
16,3,3,1,1,0,4,3,2,3,4,5,8,8,9,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,1,0
18,1,1,3,1,3,5,2,5,1,5,4,6,9,8,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
